"transcript_id"	"gene_id"	"KO3"	"KO2"	"KO1"	"Het3"	"Het2"	"Het1"	"WT3"	"WT2"	"WT1"
"MSTRG.1.1"	"MSTRG.1"	0	0	0	0	0	0	0	0	0
"MSTRG.10.1"	"MSTRG.10"	667	525	326	505	673	522	614	519	469
"MSTRG.100.1"	"MSTRG.100"	320.37	287.44	167.88	288.44	388.89	294.45	304.48	273.76	253.82
"MSTRG.100.2"	"MSTRG.100"	26.13	32.06	29.62	45.06	28.11	32.05	29.02	23.74	17.68
"MSTRG.1000.1"	"MSTRG.1000"	1131	1342	853	1079	1391	1067	1067	600	975
"MSTRG.10000.1"	"MSTRG.10000"	263.48	99.37	81.55	181.35	163.12	216.47	303.52	129.28	198.4
"MSTRG.10000.2"	"MSTRG.10000"	1043.54	1021.64	523.94	856.23	1252.77	1034.35	944.73	743.71	761.36
"MSTRG.10001.1"	"MSTRG.10001"	249	192	93	173	247	187	223	188	138
"MSTRG.10002.1"	"MSTRG.10002"	753	833	427	738	919	705	801	563	631
"MSTRG.10003.1"	"MSTRG.10003"	874	1079	726	885	1076	1037	872	557	841
"MSTRG.10004.1"	"MSTRG.10004"	43	30.35	29.5	58.89	112.19	24.41	33.92	85.59	29.7
"MSTRG.10005.1"	"MSTRG.10005"	1457.38	1702.21	549.53	1665.03	1648.77	1432.17	1657.22	1453.41	832.8
"MSTRG.10005.2"	"MSTRG.10005"	835.44	1396.61	742.01	609.84	957.05	1433.46	488.97	955.73	1149.77
"MSTRG.10005.3"	"MSTRG.10005"	2204.83	2242.7	1402.47	2419.31	3470.26	2327.35	2807.52	1568.87	2820.08
"MSTRG.10006.1"	"MSTRG.10006"	252.5	844.27	470.03	498.55	381.48	958.83	1016.35	487.24	690.67
"MSTRG.10006.2"	"MSTRG.10006"	1337.67	625.47	364.72	775.49	1640.47	532.95	227.51	770.8	1348.55
"MSTRG.10006.3"	"MSTRG.10006"	2051.13	3368.28	1969.35	2497.71	3859.69	3187.5	2617.74	1922.57	2686.82
"MSTRG.10006.4"	"MSTRG.10006"	318.27	170.97	0	111.89	89.82	77.65	242.74	127.02	524.65
"MSTRG.10006.5"	"MSTRG.10006"	316.43	1023.18	223.45	276.3	518.09	252.57	335.54	613.95	391.35
"MSTRG.10006.6"	"MSTRG.10006"	335.71	0	0	247.07	149.79	458.43	0	0	99.74
"MSTRG.10006.7"	"MSTRG.10006"	94.14	132.44	30.58	152.95	167.25	105.72	68.18	110.35	122.9
"MSTRG.10006.8"	"MSTRG.10006"	212.52	434.63	92.63	206.25	313.54	265.21	156.45	121.36	157.76
"MSTRG.10006.9"	"MSTRG.10006"	90.53	157.54	38.63	48.16	117.77	113.91	78.82	139.62	77.06
"MSTRG.10007.1"	"MSTRG.10007"	684.03	800.91	412.37	699.1	1021.48	833.87	761.87	555.29	755.25
"MSTRG.10007.2"	"MSTRG.10007"	122.97	155.09	54.63	105.9	182.52	135.13	130.13	123.71	176.75
"MSTRG.10008.1"	"MSTRG.10008"	408	183	250	332	380	341	576	137	172
"MSTRG.10009.1"	"MSTRG.10009"	336	317	149	299	343	236	286	144	201
"MSTRG.1001.1"	"MSTRG.1001"	586	631	382	511	788	676	675	394	573
"MSTRG.10010.1"	"MSTRG.10010"	959	1024	509	892	1133	853	834	614	725
"MSTRG.10011.1"	"MSTRG.10011"	718.56	708.83	414.55	676.42	915.91	643.46	606.99	434.83	570.62
"MSTRG.10011.2"	"MSTRG.10011"	21.37	34.43	6.48	25.38	45.78	21.67	29.73	27.04	31.82
"MSTRG.10011.3"	"MSTRG.10011"	25.76	40.73	10	18.66	26.08	36.75	26.6	31.44	51.87
"MSTRG.10011.4"	"MSTRG.10011"	129.3	149.01	54.97	136.54	148.23	149.12	143.69	109.7	104.7
"MSTRG.10012.1"	"MSTRG.10012"	33.71	27.5	21.92	23.86	24.04	41.22	42.71	0	26.09
"MSTRG.10012.2"	"MSTRG.10012"	3.32	0	0	7.17	11.56	0	1.71	19.79	0
"MSTRG.10013.1"	"MSTRG.10013"	26.93	25.77	13.45	25.61	25.91	59.87	28.83	56.93	37.53
"MSTRG.10013.2"	"MSTRG.10013"	73.56	36.34	27.78	64.95	77.23	71.3	77.08	32.71	65.27
"MSTRG.10014.1"	"MSTRG.10014"	501.33	446.99	271.32	501.25	623.52	628.71	641.87	579.91	463
"MSTRG.10015.1"	"MSTRG.10015"	858	909	433	746	944	819	855	624	758
"MSTRG.10016.1"	"MSTRG.10016"	252	298	114	229	271	236	217	160	204
"MSTRG.10017.1"	"MSTRG.10017"	208	163.24	90.3	210.6	217.72	151.28	152.06	135.85	149.76
"MSTRG.10018.1"	"MSTRG.10018"	1111	1153	627	1013	1528	1179	1152	1088	1308
"MSTRG.10019.1"	"MSTRG.10019"	701.98	582.63	241.46	534.76	793.18	490.54	662.84	672.19	497.5
"MSTRG.1002.1"	"MSTRG.1002"	330	305	214	311	416	349	395	239	268
"MSTRG.10020.1"	"MSTRG.10020"	877.71	787.47	381.63	654.74	874.11	623.68	789.12	458.26	580.33
"MSTRG.10020.2"	"MSTRG.10020"	560.85	380.53	227.42	585.32	768.35	588.81	571.54	480.84	385.03
"MSTRG.10021.1"	"MSTRG.10021"	588.4	559.52	286.54	492.74	681.11	533.58	497.38	425.37	418.58
"MSTRG.10021.2"	"MSTRG.10021"	41.93	60.49	34.68	52.46	51.99	62.46	63.63	48.21	51.5
"MSTRG.10022.1"	"MSTRG.10022"	1545.93	1336.08	821.09	1420	2360.9	1777.1	1992	1330.97	1362
"MSTRG.10023.1"	"MSTRG.10023"	697	682	365	609	753	651	664	457	525
"MSTRG.10024.1"	"MSTRG.10024"	282.17	282.65	139.1	271.77	314.4	295.97	255.02	251.01	254.99
"MSTRG.10025.1"	"MSTRG.10025"	490	554	254	473	501	399	366	325	372
"MSTRG.10026.1"	"MSTRG.10026"	864	665	349	780	971	749	740	476	612
"MSTRG.10027.1"	"MSTRG.10027"	492	635	290	385	612	534	430	169	405
"MSTRG.10028.1"	"MSTRG.10028"	571	634	244	549	518	668	213	671	278
"MSTRG.10029.1"	"MSTRG.10029"	1176	1217	635	1061	1673	1234	1178	996	1005
"MSTRG.1003.1"	"MSTRG.1003"	735	895	423	686	823	787	846	552	721
"MSTRG.10030.1"	"MSTRG.10030"	20.54	18.25	22.36	20.9	29.98	27.34	17.14	11.75	17.52
"MSTRG.10030.2"	"MSTRG.10030"	416.46	374.75	180.64	349.1	462.02	350.66	403.86	387.25	317.48
"MSTRG.10031.1"	"MSTRG.10031"	62	73	30	55.05	58.15	44.1	30.24	65.48	31
"MSTRG.10032.1"	"MSTRG.10032"	1604	1749	1028	1501	2324	2190	2041	1656	2016
"MSTRG.10033.1"	"MSTRG.10033"	2772.64	3358.65	1497.22	2596.9	3898.23	2924.22	2824.02	2509.78	3034.82
"MSTRG.10033.2"	"MSTRG.10033"	572.36	666.35	345.78	577.1	751.77	723.78	589.98	540.22	557.18
"MSTRG.10034.1"	"MSTRG.10034"	62.93	50.95	38.24	58.77	87.15	59.45	64.14	63.05	57.1
"MSTRG.10034.2"	"MSTRG.10034"	62.93	50.95	38.24	58.77	87.15	59.45	64.14	63.05	57.1
"MSTRG.10034.3"	"MSTRG.10034"	816.13	629.65	344.91	615.16	882.48	639.23	713.5	741.24	529.81
"MSTRG.10035.1"	"MSTRG.10035"	351	275	186	263	358	256	316	426	179
"MSTRG.10036.1"	"MSTRG.10036"	551.84	685.43	337.28	546.13	658.46	609.34	589.62	502.22	454.12
"MSTRG.10037.1"	"MSTRG.10037"	366	341	216	314	401	392	378	217	326
"MSTRG.10038.1"	"MSTRG.10038"	260	178	106	219	258	205	242	132	132
"MSTRG.10039.1"	"MSTRG.10039"	1810.63	1895.43	1009.93	1767.34	2200.65	1909.3	2199.4	1252.94	1897.33
"MSTRG.10039.2"	"MSTRG.10039"	412.37	416.57	261.07	390.66	535.35	437.7	494.6	355.06	313.67
"MSTRG.1004.1"	"MSTRG.1004"	817.6	1127.58	618.13	1052.08	1108.39	1467.2	892.83	1599.55	849.56
"MSTRG.10040.1"	"MSTRG.10040"	453.2	502.49	281.28	403.4	498.77	485.18	418.2	274.6	398.69
"MSTRG.10040.2"	"MSTRG.10040"	94.86	120.32	76.76	88.19	120.49	63.3	90.85	94.41	53.35
"MSTRG.10041.1"	"MSTRG.10041"	1454	1479	789	1540	1798	1276	1470	1039	1272
"MSTRG.10042.1"	"MSTRG.10042"	681	715	408	741	993	793	870	505	574
"MSTRG.10043.1"	"MSTRG.10043"	904	1303	307	1042	595	123	171	179	408
"MSTRG.10044.1"	"MSTRG.10044"	359	482	238	308	444	286	286	168	370
"MSTRG.10045.1"	"MSTRG.10045"	99	115	53	124	138	111	128	86	75
"MSTRG.10046.1"	"MSTRG.10046"	182.53	200.75	120.79	176.57	186.29	132.61	195.86	74.98	117.36
"MSTRG.10046.2"	"MSTRG.10046"	342.47	243.25	127.21	278.43	305.71	246.39	261.14	236.02	182.64
"MSTRG.10047.1"	"MSTRG.10047"	633.33	915.47	440.72	750.96	946.51	906.16	674.71	911.62	963.27
"MSTRG.10047.2"	"MSTRG.10047"	59.79	40.07	27.19	51.12	57.6	60.84	89.78	52.94	50.01
"MSTRG.10047.3"	"MSTRG.10047"	1229.22	996.49	740.93	1189.07	1464.83	1128.84	1680.4	832.59	919.54
"MSTRG.10048.1"	"MSTRG.10048"	480	512	268	446	569	474.28	441.36	384	381
"MSTRG.10049.1"	"MSTRG.10049"	503	579	333	508	449	452	516	286	361
"MSTRG.1005.1"	"MSTRG.1005"	788	796	477	606	746	647	676	379	567
"MSTRG.10050.1"	"MSTRG.10050"	62	69	26	68	69	72	53	84	53
"MSTRG.10051.1"	"MSTRG.10051"	1665	1791	988	1558	2188	1661	1873	1369	1497
"MSTRG.10052.1"	"MSTRG.10052"	298	397	215	251	349	336	299	205	337
"MSTRG.10053.1"	"MSTRG.10053"	230	241	129	207	302	217	214	135	147
"MSTRG.10054.1"	"MSTRG.10054"	1068.74	1059.68	586.25	941.76	1183.97	1031.19	1162.4	610.99	866.42
"MSTRG.10054.2"	"MSTRG.10054"	364.26	506.3	348.71	423.24	526.01	496.81	374.6	411.01	320.58
"MSTRG.10055.1"	"MSTRG.10055"	1777	1577	990	1606	1957	1655	2078	1250	1484
"MSTRG.10056.1"	"MSTRG.10056"	536	648	310	555	688	521	578	400	500
"MSTRG.10057.1"	"MSTRG.10057"	574.73	592.56	264.9	512.22	625.92	496.98	588.31	466.57	402.18
"MSTRG.10057.2"	"MSTRG.10057"	59.27	54.44	8.1	59.78	39.08	84.02	52.69	33.43	43.82
"MSTRG.10058.1"	"MSTRG.10058"	1593	1516	903	1573	1986	1472	1831	1048	1220
"MSTRG.10059.1"	"MSTRG.10059"	1253	1415	612	1125	1318	1063	1172	966	910
"MSTRG.1006.1"	"MSTRG.1006"	645	583	322	598	707	544	694	387	453
"MSTRG.10060.1"	"MSTRG.10060"	1051.75	868.54	453.96	929.35	1120	949.13	1032.05	715.26	839.69
"MSTRG.10061.1"	"MSTRG.10061"	593	531	267	560	671	555	646	404	447
"MSTRG.10062.1"	"MSTRG.10062"	394.32	406.15	207.25	400.88	465.61	344.26	358.47	336.51	357.41
"MSTRG.10063.1"	"MSTRG.10063"	248	213	118	218	271	204	263	404	178
"MSTRG.10064.1"	"MSTRG.10064"	681	596	333	564	845	691	835	507	504
"MSTRG.10065.1"	"MSTRG.10065"	392	553	215	383	489	431	357	368	407
"MSTRG.10066.1"	"MSTRG.10066"	4214.93	5446.94	2810.67	3754.66	5686.4	4824.97	4329.58	3158.75	4693.95
"MSTRG.10066.2"	"MSTRG.10066"	555.44	926.67	387.62	587.66	860.75	932.51	473.59	1058.35	941.26
"MSTRG.10066.3"	"MSTRG.10066"	0	0	0	0	0	0	0	0	0
"MSTRG.10066.4"	"MSTRG.10066"	164.47	0	0	0	0	0	308.81	0	0
"MSTRG.10066.5"	"MSTRG.10066"	0	0	0	0	0	0	0	0	0
"MSTRG.10066.6"	"MSTRG.10066"	330.16	159.02	130.62	273.21	236.68	202.26	317.84	158.38	100.32
