"transcript_id"	"gene_id"	"KO3"	"KO2"	"KO1"	"Het3"	"Het2"	"Het1"	"WT3"	"WT2"	"WT1"
"MSTRG.1.1"	"MSTRG.1"	0	0	0	0	0	0	0	0	0
"MSTRG.10.1"	"MSTRG.10"	2.67	2.24	2.17	2.1	4.76	2.88	5.1	5.76	3.01
"MSTRG.100.1"	"MSTRG.100"	10.98	10.26	9.43	9.97	22.76	14.28	21.91	25.16	14.1
"MSTRG.100.2"	"MSTRG.100"	0.77	0.99	1.44	1.35	1.43	1.34	1.8	1.9	0.85
"MSTRG.1000.1"	"MSTRG.1000"	3.2	4.05	4.02	3.18	6.96	4.16	6.26	4.71	4.43
"MSTRG.10000.1"	"MSTRG.10000"	0.53	0.21	0.27	0.38	0.58	0.6	1.26	0.72	0.64
"MSTRG.10000.2"	"MSTRG.10000"	2.06	2.15	1.72	1.76	4.37	2.81	3.86	4.07	2.41
"MSTRG.10001.1"	"MSTRG.10001"	3	2.45	1.86	2.15	5.21	3.13	5.59	6.22	2.68
"MSTRG.10002.1"	"MSTRG.10002"	4.31	5.06	4.06	4.38	9.26	5.57	9.51	8.91	5.8
"MSTRG.10003.1"	"MSTRG.10003"	2.91	3.82	4.02	3.06	6.33	4.75	6.02	5.14	4.49
"MSTRG.10004.1"	"MSTRG.10004"	3.51	2.52	3.89	4.67	15.04	2.91	5.92	17.98	4
"MSTRG.10005.1"	"MSTRG.10005"	1.11	1.39	0.7	1.32	2.23	1.5	2.62	3.09	1.02
"MSTRG.10005.2"	"MSTRG.10005"	0.62	1.11	0.92	0.47	1.27	1.47	0.76	1.99	1.38
"MSTRG.10005.3"	"MSTRG.10005"	1.8	1.95	1.9	2.06	5.01	2.61	4.74	3.56	3.69
"MSTRG.10006.1"	"MSTRG.10006"	0.43	1.53	1.33	0.88	1.15	2.24	3.57	2.3	1.88
"MSTRG.10006.2"	"MSTRG.10006"	2.3	1.14	1.04	1.38	4.98	1.26	0.81	3.67	3.71
"MSTRG.10006.3"	"MSTRG.10006"	3.56	6.22	5.68	4.51	11.84	7.6	9.4	9.26	7.47
"MSTRG.10006.4"	"MSTRG.10006"	0.53	0.3	0	0.19	0.26	0.18	0.84	0.59	1.4
"MSTRG.10006.5"	"MSTRG.10006"	0.54	1.86	0.63	0.49	1.56	0.59	1.18	2.91	1.07
"MSTRG.10006.6"	"MSTRG.10006"	0.57	0	0	0.43	0.45	1.06	0	0	0.27
"MSTRG.10006.7"	"MSTRG.10006"	0.12	0.19	0.07	0.21	0.39	0.19	0.19	0.41	0.26
"MSTRG.10006.8"	"MSTRG.10006"	0.3	0.66	0.22	0.31	0.79	0.52	0.46	0.48	0.36
"MSTRG.10006.9"	"MSTRG.10006"	0.13	0.24	0.09	0.07	0.3	0.22	0.23	0.56	0.18
"MSTRG.10007.1"	"MSTRG.10007"	1.23	1.54	1.24	1.31	3.26	2.07	2.84	2.78	2.18
"MSTRG.10007.2"	"MSTRG.10007"	1	1.34	0.74	0.89	2.61	1.52	2.2	2.78	2.31
"MSTRG.10008.1"	"MSTRG.10008"	0.97	0.46	0.99	0.82	1.6	1.12	2.84	0.91	0.66
"MSTRG.10009.1"	"MSTRG.10009"	2.01	2.01	1.48	1.86	3.62	1.95	3.55	2.38	1.93
"MSTRG.1001.1"	"MSTRG.1001"	1.17	1.34	1.27	1.06	2.79	1.86	2.8	2.19	1.84
"MSTRG.10010.1"	"MSTRG.10010"	2.55	2.9	2.25	2.46	5.32	3.12	4.59	4.53	3.09
"MSTRG.10011.1"	"MSTRG.10011"	2.74	2.88	2.63	2.68	6.17	3.38	4.8	4.6	3.5
"MSTRG.10011.2"	"MSTRG.10011"	0.08	0.13	0.04	0.09	0.29	0.11	0.22	0.27	0.18
"MSTRG.10011.3"	"MSTRG.10011"	0.14	0.23	0.09	0.1	0.24	0.27	0.29	0.46	0.44
"MSTRG.10011.4"	"MSTRG.10011"	1.29	1.57	0.91	1.4	2.59	2.06	2.97	3	1.68
"MSTRG.10012.1"	"MSTRG.10012"	2.27	1.89	2.39	1.58	2.68	4.02	6.12	0	2.88
"MSTRG.10012.2"	"MSTRG.10012"	0.25	0	0	0.52	1.41	0	0.27	3.78	0
"MSTRG.10013.1"	"MSTRG.10013"	0.13	0.14	0.11	0.13	0.23	0.41	0.3	0.79	0.3
"MSTRG.10013.2"	"MSTRG.10013"	0.59	0.31	0.37	0.54	1.08	0.79	1.28	0.72	0.84
"MSTRG.10014.1"	"MSTRG.10014"	1.21	1.15	1.09	1.26	2.67	2.1	3.22	3.9	1.8
"MSTRG.10015.1"	"MSTRG.10015"	5.63	6.33	4.72	5.07	10.9	7.42	11.64	11.31	7.99
"MSTRG.10016.1"	"MSTRG.10016"	0.97	1.22	0.73	0.92	1.84	1.25	1.73	1.71	1.26
"MSTRG.10017.1"	"MSTRG.10017"	1.33	1.11	0.96	1.4	2.46	1.34	2.02	2.41	1.54
