"chr"	"start"	"end"	"strand"	"transcript_id"	"gene_id"	"class_code"	"gene_name"	"ensembl"
"1"	1549581	1549807	"+"	"MSTRG.1.1"	" MSTRG.1"	" u"	NA	NA
"1"	1638010	1638749	"+"	"MSTRG.2.1"	" MSTRG.2"	" u"	NA	NA
"1"	1639379	1639721	"+"	"MSTRG.3.1"	" MSTRG.3"	" u"	NA	NA
"1"	1671266	1731208	"+"	"MSTRG.5.3"	" MSTRG.5"	" j"	" Lrp11"	" ENSRNOT00000019181"
"1"	1671266	1731208	"+"	"MSTRG.5.2"	" MSTRG.5"	" j"	" Lrp11"	" ENSRNOT00000019181"
"1"	1671266	1731208	"+"	"MSTRG.5.1"	" MSTRG.5"	" j"	" Lrp11"	" ENSRNOT00000019181"
"1"	1702712	1731208	"+"	"MSTRG.5.4"	" MSTRG.5"	" j"	" Lrp11"	" ENSRNOT00000019181"
"1"	1771710	1782091	"+"	"MSTRG.6.1"	" MSTRG.6"	" ="	" Nup43"	" ENSRNOT00000080138"
"1"	1784078	1817333	"+"	"MSTRG.8.1"	" MSTRG.8"	" ="	" Lats1"	" ENSRNOT00000020098"
"1"	1825872	1867787	"+"	"MSTRG.7.1"	" MSTRG.7"	" ="	" Katna1"	" ENSRNOT00000020417"
"1"	1897338	1929763	"+"	"MSTRG.10.1"	" MSTRG.10"	" ="	" Ppil4"	" ENSRNOT00000021437"
"1"	4592314	4593688	"+"	"MSTRG.17.1"	" MSTRG.17"	" u"	NA	NA
"1"	5240197	5313041	"+"	"MSTRG.19.1"	" MSTRG.19"	" ="	" Shprh"	" ENSRNOT00000088292"
"1"	5448958	5571512	"+"	"MSTRG.20.1"	" MSTRG.20"	" ="	" Epm2a"	" ENSRNOT00000061930"
"1"	5574680	5577237	"+"	"MSTRG.21.1"	" MSTRG.21"	" u"	NA	NA
"1"	7101715	7102426	"+"	"MSTRG.22.1"	" MSTRG.22"	" ="	" Sf3b5"	" ENSRNOT00000019994"
"1"	7658890	7673683	"+"	"MSTRG.26.1"	" MSTRG.26"	" ="	" Fuca2"	" ENSRNOT00000020946"
"1"	7726467	7740732	"+"	"MSTRG.30.1"	" MSTRG.30"	" c"	" Adat2"	" ENSRNOT00000073460"
